Id,PostTypeId,CreationDate,Score,ViewCount,Tags,AnswerCount,FavoriteCount
"106600","1","2022-01-01 00:20:53","4","2412","<python><keras><tensorflow><regression>","1",""
"106602","1","2022-01-01 03:32:55","3","136","<deep-learning><word-embeddings><deepmind>","1",""
"106603","1","2022-01-01 06:18:52","0","54","<logistic-regression><sigmoid>","1",""
"106607","1","2022-01-01 15:07:25","1","21","<machine-learning><python><pandas><statistics><class-imbalance>","0",""
"106609","1","2022-01-01 15:40:23","0","27","<nlp><data-science-model><bert>","0",""
"106613","1","2022-01-01 19:14:59","0","119","<class-imbalance><pipelines><imbalanced-learn><methodology><oversampling>","1",""
"106614","1","2022-01-01 19:45:24","0","48","<decision-trees>","0",""
"106615","1","2022-01-01 19:46:13","2","274","<machine-learning><python><deep-learning><machine-learning-model><azure-ml>","2",""
"106616","1","2022-01-01 20:35:57","1","41","<normalization><k-nn>","1",""
"106618","1","2022-01-01 23:05:11","1","58","<deep-learning><neural-network><backpropagation>","0",""
"106621","1","2022-01-02 02:05:58","0","132","<neural-network><keras><tensorflow>","0",""
"106626","1","2022-01-02 12:48:33","0","376","<machine-learning><python><classification><cross-validation><pipelines>","1",""
"106627","1","2022-01-02 12:56:54","6","80","<scikit-learn><svm><optimization>","2",""
"106629","1","2022-01-02 15:45:13","0","379","<deep-learning><neural-network><keras><preprocessing><tokenization>","2",""
"106631","1","2022-01-02 16:06:30","0","53","<machine-learning><data-cleaning><bias>","1",""
"106634","1","2022-01-02 18:50:04","0","314","<machine-learning><deep-learning><classification><nlp>","1",""
"106642","1","2022-01-02 22:22:46","1","198","<machine-learning><classification><class-imbalance>","1",""
"106644","1","2022-01-03 03:21:51","0","3330","<machine-learning><deep-learning><transfer-learning>","1",""
"106645","1","2022-01-03 04:18:20","1","1413","<logistic-regression><gradient-descent>","2",""
"106650","1","2022-01-03 09:01:37","0","576","<machine-learning><deep-learning><neural-network><inception><pooling>","1",""
"106652","1","2022-01-03 09:16:31","0","41","<regression><anomaly-detection><outlier><anomaly>","1",""
